GENES,num_variants
ROBO2,2
RMND1,2
RIPPLY2,2
RFXAP,2
RFX6,2
RD3,2
RAX,2
RAD21,2
RAC2,2
PYGB,2
PUF60,2
PTRF,2
PTH,2
PRKRA,2
PPIB,2
PPARG,2
POU3F4,2
POLR3B,2
POLR1C,2
POGZ,2
PLOD2,2
PLIN1,2
PLG,2
PKP1,2
PIK3R2,2
PIEZO1,2
PHGDH,2
PHF8,2
PGAP1,2
PDE11A,2
PAX2,2
PARP10,2
PARN,2
PAK3,2
OSTM1,2
NR1H4,2
NLRC4,2
NLGN4X,2
NKX2-1,2
NEUROD1,2
NDUFV2,2
NDUFS6,2
NDUFS3,2
NDUFAF4,2
NDUFA9,2
NDUFA2,2
NDUFA11,2
NADK2,2
MYF6,2
MTOR,2
MTFMT,2
MSX2,2
MORC2,2
MMP2,2
MMP13,2
MGME1,2
MBL2,2
MAT2A,2
MASP1,2
MAGT1,2
LOX,2
LMNB2,2
LHX3,2
KYNU,2
KPTN,2
JAK2,2
IRAK4,2
IL36RN,2
IL21R,2
IL12B,2
IL10RB,2
IGF1,2
IFNGR2,2
IER3IP1,2
IDH3B,2
HSF4,2
HINT1,2
HERC2,2
GRM6,2
GDF2,2
GATA1,2
GAD1,2
GABRD,2
FUT6,2
FOXF1,2
FMR1,2
FIGLA,2
EPG5,2
ENAM,2
ELP2,2
EIF2S3,2
EIF2B2,2
DISP1,2
DIABLO,2
DHTKD1,2
DHCR24,2
DDX41,2
CYB5R3,2
CXCR4,2
CUL4B,2
CTNNA3,2
CTDP1,2
CRYBA1,2
CRBN,2
CPOX,2
COX6B1,2
COX4I2,2
COL4A2,2
CLDN16,2
CLCNKB,2
CHST6,2
CHM,2
CHCHD10,2
CFI,2
CFHR5,2
CERS1,2
CEP63,2
CECR1,2
CDH15,2
CDC42,2
CD3G,2
CCDC88C,2
CCDC11,2
CASP8,2
CARD11,2
CALM3,2
CALM1,2
CA2,2
BFSP1,2
AURKC,2
ATP8A2,2
ARMC4,2
ARG1,2
APOPT1,2
AMPD3,2
AMPD2,2
AGTR2,2
AGTR1,2
AGT,2
ADNP,2
ABHD14A-ACY1,2
AAAS,2
ZNF276,1
ZMYND11,1
ZC4H2,1
ZBTB24,1
XPA,1
WNT7A,1
WNK4,1
WIPF1,1
WDR81,1
WDR73,1
WASHC4,1
VPS45,1
VCX3A,1
VAX1,1
VAV1,1
VANGL1,1
VAMP1,1
USP9X,1
UPK3A,1
UCP2,1
UCHL1,1
UBTF,1
UBR1,1
UBQLN2,1
UBE4A,1
UBE3B,1
TYROBP,1
TWIST1,1
TSPEAR,1
TSHZ1,1
TSHB,1
TRPM6,1
TRAPPC2,1
TOR1AIP1,1
TNK2,1
TMEM240,1
THBD,1
TGM5,1
TBXAS1,1
TBX6,1
TBX19,1
TBR1,1
TBCK,1
TBC1D20,1
TARS2,1
TAP2,1
TAP1,1
TANGO2,1
TALDO1,1
SYNJ1,1
SYNE4,1
STX16,1
STT3B,1
STRADA,1
STAT2,1
STAR,1
STAMBP,1
SPRY4,1
SOX17,1
SOX11,1
SOST,1
SNCA,1
SNAPC5,1
SMPX,1
SMOC1,1
SMAD6,1
SLMAP,1
SLC6A20,1
SLC6A19,1
SLC4A4,1
SLC39A8,1
SLC35D1,1
SLC2A9,1
SLC26A3,1
SLC25A46,1
SLC25A42,1
SLC25A1,1
SLC22A12,1
SLC1A4,1
SLC12A5,1
SLC10A2,1
SIX6,1
SIX1,1
SIM1,1
SFTPA1,1
SERPINE1,1
SERPINA7,1
SERPINA6,1
SEMA3E,1
SDHAF1,1
SCARF2,1
SATB2,1
RYR3,1
ROBO3,1
RNASET2,1
RINT1,1
RGS9,1
RERE,1
REN,1
RBFOX1,1
RASGRP2,1
RASA2,1
RAB39B,1
PTS,1
PTPRQ,1
PTF1A,1
PTCH2,1
PRSS56,1
PRPF31,1
PROK2,1
PREPL,1
PPP2R5D,1
PPP2R1A,1
PPP1CB,1
POMC,1
PODXL,1
POC1A,1
PNPLA8,1
PLOD3,1
PLEKHG2,1
PLCB4,1
PLAU,1
PITX3,1
PIGT,1
PIGQ,1
PIGM,1
PGM3,1
PGK1,1
PGAP3,1
PDK3,1
PDE8B,1
PDE6G,1
PCK2,1
PCK1,1
PCBD1,1
PAX8,1
PARK7,1
OTUD6B,1
NTHL1,1
NSMF,1
NRL,1
NR3C1,1
NR0B1,1
NPRL3,1
NPR2,1
NOS3,1
NOG,1
NMNAT1,1
NLRP14,1
NKX2-6,1
NIN,1
NFKB2,1
NEUROG3,1
NDUFB9,1
NDUFB3,1
NDUFAF2,1
NBAS,1
NACC1,1
MSTN,1
MST1R,1
MSR1,1
MRPL44,1
MRPL3,1
MRAP,1
MPO,1
MPDZ,1
MOCS1,1
MN1,1
MIP,1
MIB1,1
METTL23,1
MEGF8,1
MEF2A,1
MCM4,1
MCIDAS,1
MC2R,1
MBTPS2,1
MAOA,1
MADD,1
LTBP3,1
LRAT,1
LOC101929220,1
LOC101927854,1
LIPC,1
LIM2,1
LFNG,1
LEP,1
LACC1,1
L2HGDH,1
KRT85,1
KRT83,1
KRT74,1
KRT2,1
KRT16,1
KLKB1,1
KLHL7,1
KLHL24,1
KLF8,1
KLF1,1
KL,1
KISS1R,1
KIRREL3,1
KIF5C,1
KIF11,1
KEL,1
KDM1A,1
KCNK9,1
KCNH1,1
KCNC1,1
KAT6A,1
KANK1,1
IYD,1
ITPA,1
ISCA2,1
INS,1
IL17RD,1
IFITM5,1
ICK,1
IBA57,1
HTT,1
HTRA2,1
HSD17B10,1
HS6ST1,1
HOXD10,1
HNRNPU,1
HNRNPH2,1
HK1,1
HIBCH,1
HES7,1
HCCS,1
HAND1,1
HAMP,1
HACL1,1
GYG1,1
GUCA1B,1
GRM1,1
GPR161,1
GPR143,1
GPLD1,1
GPI,1
GPHN,1
GPD2,1
GPC6,1
GP1BB,1
GORAB,1
GNB1,1
GNAS,1
GNA11,1
GMPPA,1
GLRB,1
GLMN,1
GJA5,1
GIF,1
GDI1,1
GDF3,1
GCSH,1
GCM2,1
GALNT3,1
FSHB,1
FSCN2,1
FRRS1L,1
FRMPD4,1
FPR1,1
FOXP3,1
FLAD1,1
FGF8,1
FGF3,1
FGF14,1
FGF12,1
FGF10,1
FGA,1
FCGR3A,1
FASN,1
FASLG,1
FAM111A,1
F10,1
EXOSC8,1
ERCC1,1
ERBB2,1
ENTPD1,1
EMX2,1
EFTUD2,1
ECE1,1
DSG4,1
DPP6,1
DPM3,1
DOCK2,1
DNAH7,1
DNAH1,1
CYP4F22,1
CYP27B1,1
CYP19A1,1
CYP11B2,1
CYP11A1,1
CYCS,1
CTSF,1
CTCF,1
CRYBB2,1
CRYBA4,1
CPN1,1
COX20,1
CORO1A,1
COL27A1,1
COASY,1
CNTN2,1
CLUAP1,1
CLTCL1,1
CLIC2,1
CLEC7A,1
CLCN5,1
CHIT1,1
CHD8,1
CHD1,1
CFH,1
CFC1,1
CETP,1
CEP120,1
CEL,1
CDK13,1
CD79A,1
CD36,1
CCNO,1
CAV1,1
CAMK2A,1
CALM2,1
CAD,1
CACNG2,1
CACNA1D,1
C9,1
C8orf37,1
C8B,1
C21orf2,1
C1QTNF5,1
C17orf107,1
BRPF1,1
BOLA3,1
BNC2,1
BLNK,1
BDNF,1
BCKDK,1
AUTS2,1
ATP5A1,1
ATP2C1,1
ATN1,1
ATAD3A,1
ASNS,1
ARL6,1
ARHGEF15,1
APRT,1
AMN,1
AMH,1
ALX4,1
ALX1,1
ALDH6A1,1
ALAD,1
AKT1,1
AK2,1
AHDC1,1
AGXT2,1
ADCY5,1
ADAT3,1
ADAMTS17,1
ACD,1
ACADL,1
ABL1,1
ABCB1,1
