GENES,num_variants
EPM2A,27
CSRP3,27
CCDC114,27
BCKDHB,27
BBS9,27
ATP2A1,27
ANK1,27
AGXT,27
ABCC6,27
TYK2,26
SLC6A8,26
SERPINA1,26
PNPLA6,26
MYH2,26
MFSD8,26
FIG4,26
FGD4,26
EPHA2,26
DNAAF3,26
DIS3L2,26
CTC1,26
BIN1,26
ATP13A2,26
ARX,26
ADCK3,26
ACTG1,26
ABCD1,26
TRIM32,25
TCTN2,25
SPAST,25
SMARCB1,25
RPGR,25
PIGO,25
PALLD,25
NOTCH2,25
CDON,25
CASC5,25
ATP6V0A2,25
ACTA2,25
XRCC2,24
STIL,24
SLC12A3,24
RSPH4A,24
RPGRIP1,24
PRKAR1A,24
PEX6,24
NPHP1,24
LRSAM1,24
LRP4,24
LAMB2,24
KCNMA1,24
KCNJ2,24
KCNJ10,24
KBTBD13,24
HRAS,24
GYS2,24
GPR56,24
FREM1,24
DAG1,24
COL12A1,24
BBS1,24
ATP7A,24
AP5Z1,24
AP3B1,24
ALPL,24
ADAMTS13,24
TGFB3,23
SLC19A3,23
SGCG,23
PLA2G6,23
PKD2,23
MTM1,23
LARS2,23
LAMB3,23
KRAS,23
KIF5A,23
ERCC4,23
DYRK1A,23
DEPDC5,23
DBT,23
CUL7,23
BSCL2,23
BBS12,23
ACADS,23
TNPO3,22
SCARB2,22
RTTN,22
PRRT2,22
PRKDC,22
PNPLA2,22
PDLIM3,22
PDHX,22
NME8,22
ITPR1,22
IQSEC2,22
INVS,22
HCFC1,22
GABRA1,22
FBXL4,22
FAH,22
DIAPH1,22
CUBN,22
CLN8,22
ALG13,22
ALDH5A1,22
TGFB2,21
SGSH,21
RUNX1,21
POT1,21
PCCA,21
OFD1,21
NOD2,21
MTRR,21
MAN2B1,21
KLLN,21
KIAA0196,21
JAK3,21
GBA,21
GATA2,21
GABRG2,21
D2HGDH,21
CNGB3,21
CASK,21
ATP1A3,21
ASL,21
AARS2,21
A2ML1,21
VLDLR,20
TG,20
STXBP2,20
SRCAP,20
SLC9A6,20
SDHAF2,20
RAB3GAP2,20
PYGL,20
PPT1,20
PLCE1,20
PHKB,20
NEK1,20
MYOZ2,20
MPZ,20
LTBP4,20
KCNE1,20
IVD,20
HSD17B4,20
HPS1,20
HNF4A,20
HLCS,20
GYS1,20
EYA4,20
EPCAM,20
EDA,20
DCTN1,20
CNTN1,20
CDHR1,20
CACNA1H,20
BEST1,20
ALS2,20
ZNF423,19
TRMU,19
SIL1,19
RARS2,19
PROM1,19
PAFAH1B1,19
NKX2-5,19
NEFL,19
MFRP,19
HADHA,19
GTDC2,19
GPD1L,19
GNPTAB,19
GLB1,19
EXT2,19
DOLK,19
DNAI1,19
DGUOK,19
COL18A1,19
COG5,19
CACNB4,19
BBS10,19
ARID1B,19
ABCC2,19
WDR35,18
TH,18
SZT2,18
SURF1,18
SMC1A,18
SLC12A6,18
SALL4,18
PITPNM3,18
PHOX2B,18
MMACHC,18
LRPPRC,18
LEPRE1,18
KCTD7,18
KCNJ11,18
IFT140,18
HPS4,18
GPSM2,18
GAMT,18
FTCD,18
DNAJB6,18
CYP1B1,18
CRB1,18
CPT1A,18
C10orf2,18
ATP6V1B1,18
AIP,18
VCP,17
TYMP,17
TMEM216,17
SPTBN2,17
SLC37A4,17
SETBP1,17
RIT1,17
RAB3GAP1,17
QARS,17
PRSS1,17
PDE6B,17
OTOG,17
NDRG1,17
MYH8,17
MTMR2,17
MCCC2,17
MCCC1,17
KLHL40,17
ITGB2,17
HNF1B,17
GJB3,17
GFM1,17
G6PC,17
COG6,17
CHRND,17
CHRNB2,17
CDKN1C,17
BBS2,17
ATL1,17
ANKRD26,17
AIPL1,17
ABCG8,17
ABCA12,17
TUBA1A,16
TSEN2,16
TBX5,16
SRPX2,16
SPRED1,16
SP110,16
SOS2,16
SMC3,16
SMARCAL1,16
SLC25A13,16
SEC23B,16
PEX7,16
OBSL1,16
NPHS2,16
NLRP12,16
NDE1,16
MVK,16
MEF2C,16
MAX,16
IFT122,16
HSPD1,16
HEATR2,16
GRIN1,16
GOSR2,16
GFI1,16
ESRRB,16
DNMT3B,16
DNAJC5,16
DFNA5,16
DCLRE1C,16
CYP7B1,16
CYP27A1,16
CSF3R,16
CP,16
COL7A1,16
CDAN1,16
BRAT1,16
ALDOB,16
AFG3L2,16
ACTA1,16
 undetermined ,16
VPS33B,15
TNNC1,15
TMC1,15
TCTN1,15
SYN1,15
SQSTM1,15
SMARCE1,15
SLC26A2,15
SGCE,15
SGCB,15
RTEL1,15
RP1,15
RAPSN,15
PGM1,15
PEX10,15
PCCB,15
NHS,15
MED25,15
LRBA,15
KCNA5,15
HEXB,15
GLRA1,15
GBE1,15
G6PD,15
FOLR1,15
FHL1,15
FAT4,15
FANCF,15
FANCE,15
FANCB,15
EZH2,15
ELAC2,15
DUOX2,15
CRTAP,15
CIITA,15
CHKB,15
CCDC50,15
BMPR2,15
YARS2,14
VRK1,14
TYR,14
TRAPPC11,14
TMEM237,14
TMEM231,14
TCIRG1,14
SUCLA2,14
SPINK1,14
SLC4A1,14
SLC13A5,14
SCNN1B,14
RP1L1,14
ROGDI,14
RIMS1,14
RASA1,14
PDZD7,14
PDE6A,14
PC,14
OTC,14
MPL,14
MMAB,14
MLYCD,14
MAN1B1,14
LRP5,14
LAMC2,14
KRT5,14
KCNV2,14
KCNJ5,14
IL7R,14
IL10RA,14
HSPB1,14
GPC3,14
GLIS2,14
FAM175A,14
EYA1,14
ETFDH,14
EEF1A2,14
CYP21A2,14
CYP11B1,14
COLQ,14
CLRN1,14
CHRNB1,14
C2orf71,14
BCS1L,14
BCOR,14
ALG1,14
ALDH18A1,14
ABCA3,14
TPM2,13
SYNGAP1,13
SPTLC1,13
SLC52A2,13
SLC2A2,13
PRKG1,13
PNPO,13
PEX14,13
PAX6,13
MYBPC1,13
MPI,13
MLC1,13
MAGEL2,13
LIG4,13
KIF1C,13
KCND3,13
KCNB1,13
IFT80,13
GUCY2D,13
GMPPB,13
GATA4,13
GAN,13
FOXH1,13
FGFR1,13
FBP1,13
FASTKD2,13
FARS2,13
ELANE,13
EDAR,13
DNM1L,13
DNM1,13
DLD,13
CTNS,13
CPA6,13
COX10,13
COL17A1,13
COG1,13
CHRNG,13
CERKL,13
CDKN2B-AS1,13
CDC73,13
CACNA2D1,13
C19orf12,13
ARHGAP31,13
APTX,13
AMPD1,13
ALG6,13
ADAR,13
TSHR,12
TNNT1,12
TNFRSF13B,12
TMPRSS6,12
SPTLC2,12
SLC7A7,12
SHOC2,12
RAG1,12
PSEN2,12
PROC,12
PMP22,12
PFKM,12
PDX1,12
